32x32 汉字点阵字库索引表 (按 Unicode 排序)
字符数量: 3755
固定尺寸: 32x32
字体: C:/Windows/Fonts/msyh.ttc
加粗半径: 0
反色: False

序号     字符   Unicode      偏移(Hex)      宽度     高度     pitch 
364    加    0x000052A0   0x0000B600     32     32     4     
365    务    0x000052A1   0x0000B680     32     32     4     
366    劣    0x000052A3   0x0000B700     32     32     4     
367    动    0x000052A8   0x0000B780     32     32     4     
368    助    0x000052A9   0x0000B800     32     32     4     
369    努    0x000052AA   0x0000B880     32     32     4     
370    劫    0x000052AB   0x0000B900     32     32     4     
371    励    0x000052B1   0x0000B980     32     32     4     
372    劲    0x000052B2   0x0000BA00     32     32     4     
373    劳    0x000052B3   0x0000BA80     32     32     4     
374    势    0x000052BF   0x0000BB00     32     32     4     
375    勃    0x000052C3   0x0000BB80     32     32     4     
376    勇    0x000052C7   0x0000BC00     32     32     4     
377    勉    0x000052C9   0x0000BC80     32     32     4     
378    勋    0x000052CB   0x0000BD00     32     32     4     
379    勒    0x000052D2   0x0000BD80     32     32     4     
380    勘    0x000052D8   0x0000BE00     32     32     4     
381    募    0x000052DF   0x0000BE80     32     32     4     
382    勤    0x000052E4   0x0000BF00     32     32     4     
383    勺    0x000052FA   0x0000BF80     32     32     4     
384    勾    0x000052FE   0x0000C000     32     32     4     
385    勿    0x000052FF   0x0000C080     32     32     4     
386    匀    0x00005300   0x0000C100     32     32     4     
387    包    0x00005305   0x0000C180     32     32     4     
388    匆    0x00005306   0x0000C200     32     32     4     
389    匈    0x00005308   0x0000C280     32     32     4     
390    化    0x00005316   0x0000C300     32     32     4     
391    北    0x00005317   0x0000C380     32     32     4     
392    匙    0x00005319   0x0000C400     32     32     4     
393    匝    0x0000531D   0x0000C480     32     32     4     
394    匠    0x00005320   0x0000C500     32     32     4     
395    匡    0x00005321   0x0000C580     32     32     4     
396    匣    0x00005323   0x0000C600     32     32     4     
397    匪    0x0000532A   0x0000C680     32     32     4     
398    匹    0x00005339   0x0000C700     32     32     4     
399    区    0x0000533A   0x0000C780     32     32     4     
400    医    0x0000533B   0x0000C800     32     32     4     
401    匿    0x0000533F   0x0000C880     32     32     4     
402    十    0x00005341   0x0000C900     32     32     4     
403    千    0x00005343   0x0000C980     32     32     4     
404    升    0x00005347   0x0000CA00     32     32     4     
405    午    0x00005348   0x0000CA80     32     32     4     
406    卉    0x00005349   0x0000CB00     32     32     4     
407    半    0x0000534A   0x0000CB80     32     32     4     
408    华    0x0000534E   0x0000CC00     32     32     4     
409    协    0x0000534F   0x0000CC80     32     32     4     
410    卑    0x00005351   0x0000CD00     32     32     4     
411    卒    0x00005352   0x0000CD80     32     32     4     
412    卓    0x00005353   0x0000CE00     32     32     4     
413    单    0x00005355   0x0000CE80     32     32     4     
414    卖    0x00005356   0x0000CF00     32     32     4     
415    南    0x00005357   0x0000CF80     32     32     4     
416    博    0x0000535A   0x0000D000     32     32     4     
417    卜    0x0000535C   0x0000D080     32     32     4     
418    卞    0x0000535E   0x0000D100     32     32     4     
419    占    0x00005360   0x0000D180     32     32     4     
420    卡    0x00005361   0x0000D200     32     32     4     
421    卢    0x00005362   0x0000D280     32     32     4     
422    卤    0x00005364   0x0000D300     32     32     4     
423    卧    0x00005367   0x0000D380     32     32     4     
424    卫    0x0000536B   0x0000D400     32     32     4     
425    卯    0x0000536F   0x0000D480     32     32     4     
426    印    0x00005370   0x0000D500     32     32     4     
427    危    0x00005371   0x0000D580     32     32     4     
428    即    0x00005373   0x0000D600     32     32     4     
429    却    0x00005374   0x0000D680     32     32     4     
430    卵    0x00005375   0x0000D700     32     32     4     
431    卷    0x00005377   0x0000D780     32     32     4     
432    卸    0x00005378   0x0000D800     32     32     4     
433    卿    0x0000537F   0x0000D880     32     32     4     
434    厂    0x00005382   0x0000D900     32     32     4     
435    厄    0x00005384   0x0000D980     32     32     4     
436    厅    0x00005385   0x0000DA00     32     32     4     
437    历    0x00005386   0x0000DA80     32     32     4     
438    厉    0x00005389   0x0000DB00     32     32     4     
439    压    0x0000538B   0x0000DB80     32     32     4     
440    厌    0x0000538C   0x0000DC00     32     32     4     
441    厕    0x00005395   0x0000DC80     32     32     4     
442    厘    0x00005398   0x0000DD00     32     32     4     
443    厚    0x0000539A   0x0000DD80     32     32     4     
444    原    0x0000539F   0x0000DE00     32     32     4     
445    厢    0x000053A2   0x0000DE80     32     32     4     
446    厦    0x000053A6   0x0000DF00     32     32     4     
447    厨    0x000053A8   0x0000DF80     32     32     4     
448    厩    0x000053A9   0x0000E000     32     32     4     
449    去    0x000053BB   0x0000E080     32     32     4     
450    县    0x000053BF   0x0000E100     32     32     4     
451    叁    0x000053C1   0x0000E180     32     32     4     
452    参    0x000053C2   0x0000E200     32     32     4     
453    又    0x000053C8   0x0000E280     32     32     4     
454    叉    0x000053C9   0x0000E300     32     32     4     
455    及    0x000053CA   0x0000E380     32     32     4     
456    友    0x000053CB   0x0000E400     32     32     4     
457    双    0x000053CC   0x0000E480     32     32     4     
458    反    0x000053CD   0x0000E500     32     32     4     
459    发    0x000053D1   0x0000E580     32     32     4     
460    叔    0x000053D4   0x0000E600     32     32     4     
461    取    0x000053D6   0x0000E680     32     32     4     
462    受    0x000053D7   0x0000E700     32     32     4     
463    变    0x000053D8   0x0000E780     32     32     4     
464    叙    0x000053D9   0x0000E800     32     32     4     
465    叛    0x000053DB   0x0000E880     32     32     4     
466    叠    0x000053E0   0x0000E900     32     32     4     
467    口    0x000053E3   0x0000E980     32     32     4     
468    古    0x000053E4   0x0000EA00     32     32     4     
469    句    0x000053E5   0x0000EA80     32     32     4     
470    另    0x000053E6   0x0000EB00     32     32     4     
471    只    0x000053EA   0x0000EB80     32     32     4     
472    叫    0x000053EB   0x0000EC00     32     32     4     
473    召    0x000053EC   0x0000EC80     32     32     4     
474    叭    0x000053ED   0x0000ED00     32     32     4     
475    叮    0x000053EE   0x0000ED80     32     32     4     
476    可    0x000053EF   0x0000EE00     32     32     4     
477    台    0x000053F0   0x0000EE80     32     32     4     
478    史    0x000053F2   0x0000EF00     32     32     4     
479    右    0x000053F3   0x0000EF80     32     32     4     
480    叶    0x000053F6   0x0000F000     32     32     4     
481    号    0x000053F7   0x0000F080     32     32     4     
482    司    0x000053F8   0x0000F100     32     32     4     
483    叹    0x000053F9   0x0000F180     32     32     4     
484    叼    0x000053FC   0x0000F200     32     32     4     
485    吁    0x00005401   0x0000F280     32     32     4     
486    吃    0x00005403   0x0000F300     32     32     4     
487    各    0x00005404   0x0000F380     32     32     4     
488    合    0x00005408   0x0000F400     32     32     4     
489    吉    0x00005409   0x0000F480     32     32     4     
490    吊    0x0000540A   0x0000F500     32     32     4     
491    同    0x0000540C   0x0000F580     32     32     4     
492    名    0x0000540D   0x0000F600     32     32     4     
493    后    0x0000540E   0x0000F680     32     32     4     
494    吏    0x0000540F   0x0000F700     32     32     4     
495    吐    0x00005410   0x0000F780     32     32     4     
496    向    0x00005411   0x0000F800     32     32     4     
497    吓    0x00005413   0x0000F880     32     32     4     
498    吕    0x00005415   0x0000F900     32     32     4     
499    吗    0x00005417   0x0000F980     32     32     4     
500    君    0x0000541B   0x0000FA00     32     32     4     
501    吝    0x0000541D   0x0000FA80     32     32     4     
502    吞    0x0000541E   0x0000FB00     32     32     4     
503    吟    0x0000541F   0x0000FB80     32     32     4     
504    吠    0x00005420   0x0000FC00     32     32     4     
505    否    0x00005426   0x0000FC80     32     32     4     
506    吧    0x00005427   0x0000FD00     32     32     4     
507    吨    0x00005428   0x0000FD80     32     32     4     
508    吩    0x00005429   0x0000FE00     32     32     4     
509    含    0x0000542B   0x0000FE80     32     32     4     
510    听    0x0000542C   0x0000FF00     32     32     4     
511    吭    0x0000542D   0x0000FF80     32     32     4     
512    吮    0x0000542E   0x00010000     32     32     4     
513    启    0x0000542F   0x00010080     32     32     4     
514    吱    0x00005431   0x00010100     32     32     4     
515    吴    0x00005434   0x00010180     32     32     4     
516    吵    0x00005435   0x00010200     32     32     4     
517    吸    0x00005438   0x00010280     32     32     4     
518    吹    0x00005439   0x00010300     32     32     4     
519    吻    0x0000543B   0x00010380     32     32     4     
520    吼    0x0000543C   0x00010400     32     32     4     
521    吾    0x0000543E   0x00010480     32     32     4     
522    呀    0x00005440   0x00010500     32     32     4     
523    呆    0x00005446   0x00010580     32     32     4     
524    呈    0x00005448   0x00010600     32     32     4     
525    告    0x0000544A   0x00010680     32     32     4     
526    呐    0x00005450   0x00010700     32     32     4     
527    呕    0x00005455   0x00010780     32     32     4     
528    员    0x00005458   0x00010800     32     32     4     
529    呛    0x0000545B   0x00010880     32     32     4     
530    呜    0x0000545C   0x00010900     32     32     4     
531    呢    0x00005462   0x00010980     32     32     4     
532    周    0x00005468   0x00010A00     32     32     4     
533    味    0x00005473   0x00010A80     32     32     4     
