# 汉字 绝对偏移(十六进制)  (从文件头开始)
凡 0x000276FC
烦 0x0002777C
反 0x000277FC
返 0x0002787C
范 0x000278FC
贩 0x0002797C
犯 0x000279FC
饭 0x00027A7C
泛 0x00027AFC
坊 0x00027B7C
芳 0x00027BFC
方 0x00027C7C
肪 0x00027CFC
房 0x00027D7C
防 0x00027DFC
妨 0x00027E7C
仿 0x00027EFC
访 0x00027F7C
纺 0x00027FFC
放 0x0002807C
菲 0x000280FC
非 0x0002817C
啡 0x000281FC
飞 0x0002827C
肥 0x000282FC
匪 0x0002837C
诽 0x000283FC
吠 0x0002847C
肺 0x000284FC
废 0x0002857C
沸 0x000285FC
费 0x0002867C
芬 0x000286FC
酚 0x0002877C
吩 0x000287FC
氛 0x0002887C
分 0x000288FC
纷 0x0002897C
坟 0x000289FC
焚 0x00028A7C
汾 0x00028AFC
粉 0x00028B7C
奋 0x00028BFC
份 0x00028C7C
忿 0x00028CFC
愤 0x00028D7C
粪 0x00028DFC
丰 0x00028E7C
封 0x00028EFC
枫 0x00028F7C
蜂 0x00028FFC
峰 0x0002907C
锋 0x000290FC
风 0x0002917C
疯 0x000291FC
烽 0x0002927C
逢 0x000292FC
冯 0x0002937C
缝 0x000293FC
讽 0x0002947C
奉 0x000294FC
凤 0x0002957C
佛 0x000295FC
否 0x0002967C
夫 0x000296FC
敷 0x0002977C
肤 0x000297FC
孵 0x0002987C
扶 0x000298FC
拂 0x0002997C
辐 0x000299FC
幅 0x00029A7C
氟 0x00029AFC
符 0x00029B7C
伏 0x00029BFC
俘 0x00029C7C
服 0x00029CFC
浮 0x00029D7C
涪 0x00029DFC
福 0x00029E7C
袱 0x00029EFC
弗 0x00029F7C
甫 0x00029FFC
抚 0x0002A07C
辅 0x0002A0FC
俯 0x0002A17C
釜 0x0002A1FC
斧 0x0002A27C
脯 0x0002A2FC
腑 0x0002A37C
府 0x0002A3FC
腐 0x0002A47C
赴 0x0002A4FC
副 0x0002A57C
覆 0x0002A5FC
赋 0x0002A67C
复 0x0002A6FC
傅 0x0002A77C
付 0x0002A7FC
阜 0x0002A87C
父 0x0002A8FC
腹 0x0002A97C
负 0x0002A9FC
富 0x0002AA7C
讣 0x0002AAFC
附 0x0002AB7C
妇 0x0002ABFC
缚 0x0002AC7C
咐 0x0002ACFC
噶 0x0002AD7C
嘎 0x0002ADFC
该 0x0002AE7C
改 0x0002AEFC
概 0x0002AF7C
钙 0x0002AFFC
盖 0x0002B07C
溉 0x0002B0FC
干 0x0002B17C
甘 0x0002B1FC
杆 0x0002B27C
柑 0x0002B2FC
竿 0x0002B37C
肝 0x0002B3FC
赶 0x0002B47C
感 0x0002B4FC
秆 0x0002B57C
敢 0x0002B5FC
赣 0x0002B67C
冈 0x0002B6FC
刚 0x0002B77C
钢 0x0002B7FC
缸 0x0002B87C
肛 0x0002B8FC
纲 0x0002B97C
岗 0x0002B9FC
港 0x0002BA7C
杠 0x0002BAFC
篙 0x0002BB7C
皋 0x0002BBFC
高 0x0002BC7C
膏 0x0002BCFC
羔 0x0002BD7C
糕 0x0002BDFC
搞 0x0002BE7C
镐 0x0002BEFC
稿 0x0002BF7C
告 0x0002BFFC
哥 0x0002C07C
歌 0x0002C0FC
搁 0x0002C17C
戈 0x0002C1FC
鸽 0x0002C27C
胳 0x0002C2FC
疙 0x0002C37C
割 0x0002C3FC
革 0x0002C47C
葛 0x0002C4FC
格 0x0002C57C
蛤 0x0002C5FC
阁 0x0002C67C
隔 0x0002C6FC
铬 0x0002C77C
个 0x0002C7FC
各 0x0002C87C
给 0x0002C8FC
根 0x0002C97C
跟 0x0002C9FC
耕 0x0002CA7C
更 0x0002CAFC
庚 0x0002CB7C
羹 0x0002CBFC
埂 0x0002CC7C
耿 0x0002CCFC
梗 0x0002CD7C
工 0x0002CDFC
攻 0x0002CE7C
功 0x0002CEFC
恭 0x0002CF7C
龚 0x0002CFFC
供 0x0002D07C
躬 0x0002D0FC
公 0x0002D17C
宫 0x0002D1FC
弓 0x0002D27C
巩 0x0002D2FC
汞 0x0002D37C
拱 0x0002D3FC
贡 0x0002D47C
共 0x0002D4FC
钩 0x0002D57C
勾 0x0002D5FC
沟 0x0002D67C
苟 0x0002D6FC
