16x16 汉字点阵字库索引表 (按 Unicode 排序)
字符数量: 3755
固定尺寸: 16x16
字体: C:/Windows/Fonts/msyh.ttc

序号     字符   Unicode      偏移(Hex)      宽度     高度     pitch 
392    匙    0x00005319   0x00003100     16     16     2     
393    匝    0x0000531D   0x00003120     16     16     2     
394    匠    0x00005320   0x00003140     16     16     2     
395    匡    0x00005321   0x00003160     16     16     2     
396    匣    0x00005323   0x00003180     16     16     2     
397    匪    0x0000532A   0x000031A0     16     16     2     
398    匹    0x00005339   0x000031C0     16     16     2     
399    区    0x0000533A   0x000031E0     16     16     2     
400    医    0x0000533B   0x00003200     16     16     2     
401    匿    0x0000533F   0x00003220     16     16     2     
402    十    0x00005341   0x00003240     16     16     2     
403    千    0x00005343   0x00003260     16     16     2     
404    升    0x00005347   0x00003280     16     16     2     
405    午    0x00005348   0x000032A0     16     16     2     
406    卉    0x00005349   0x000032C0     16     16     2     
407    半    0x0000534A   0x000032E0     16     16     2     
408    华    0x0000534E   0x00003300     16     16     2     
409    协    0x0000534F   0x00003320     16     16     2     
410    卑    0x00005351   0x00003340     16     16     2     
411    卒    0x00005352   0x00003360     16     16     2     
412    卓    0x00005353   0x00003380     16     16     2     
413    单    0x00005355   0x000033A0     16     16     2     
414    卖    0x00005356   0x000033C0     16     16     2     
415    南    0x00005357   0x000033E0     16     16     2     
416    博    0x0000535A   0x00003400     16     16     2     
417    卜    0x0000535C   0x00003420     16     16     2     
418    卞    0x0000535E   0x00003440     16     16     2     
419    占    0x00005360   0x00003460     16     16     2     
420    卡    0x00005361   0x00003480     16     16     2     
421    卢    0x00005362   0x000034A0     16     16     2     
422    卤    0x00005364   0x000034C0     16     16     2     
423    卧    0x00005367   0x000034E0     16     16     2     
424    卫    0x0000536B   0x00003500     16     16     2     
425    卯    0x0000536F   0x00003520     16     16     2     
426    印    0x00005370   0x00003540     16     16     2     
427    危    0x00005371   0x00003560     16     16     2     
428    即    0x00005373   0x00003580     16     16     2     
429    却    0x00005374   0x000035A0     16     16     2     
430    卵    0x00005375   0x000035C0     16     16     2     
431    卷    0x00005377   0x000035E0     16     16     2     
432    卸    0x00005378   0x00003600     16     16     2     
433    卿    0x0000537F   0x00003620     16     16     2     
434    厂    0x00005382   0x00003640     16     16     2     
435    厄    0x00005384   0x00003660     16     16     2     
436    厅    0x00005385   0x00003680     16     16     2     
437    历    0x00005386   0x000036A0     16     16     2     
438    厉    0x00005389   0x000036C0     16     16     2     
439    压    0x0000538B   0x000036E0     16     16     2     
440    厌    0x0000538C   0x00003700     16     16     2     
441    厕    0x00005395   0x00003720     16     16     2     
442    厘    0x00005398   0x00003740     16     16     2     
