# 汉字 绝对偏移(十六进制)  (从文件头开始)
芳 0x00017B1C
方 0x00017B3C
肪 0x00017B5C
房 0x00017B7C
防 0x00017B9C
妨 0x00017BBC
仿 0x00017BDC
访 0x00017BFC
纺 0x00017C1C
放 0x00017C3C
菲 0x00017C5C
非 0x00017C7C
啡 0x00017C9C
飞 0x00017CBC
肥 0x00017CDC
匪 0x00017CFC
诽 0x00017D1C
吠 0x00017D3C
肺 0x00017D5C
废 0x00017D7C
沸 0x00017D9C
费 0x00017DBC
芬 0x00017DDC
酚 0x00017DFC
吩 0x00017E1C
氛 0x00017E3C
分 0x00017E5C
纷 0x00017E7C
坟 0x00017E9C
焚 0x00017EBC
汾 0x00017EDC
粉 0x00017EFC
奋 0x00017F1C
份 0x00017F3C
忿 0x00017F5C
愤 0x00017F7C
粪 0x00017F9C
丰 0x00017FBC
封 0x00017FDC
枫 0x00017FFC
蜂 0x0001801C
峰 0x0001803C
锋 0x0001805C
风 0x0001807C
疯 0x0001809C
烽 0x000180BC
逢 0x000180DC
冯 0x000180FC
缝 0x0001811C
讽 0x0001813C
奉 0x0001815C
凤 0x0001817C
佛 0x0001819C
否 0x000181BC
夫 0x000181DC
敷 0x000181FC
肤 0x0001821C
孵 0x0001823C
扶 0x0001825C
拂 0x0001827C
辐 0x0001829C
幅 0x000182BC
氟 0x000182DC
符 0x000182FC
伏 0x0001831C
俘 0x0001833C
服 0x0001835C
浮 0x0001837C
涪 0x0001839C
福 0x000183BC
袱 0x000183DC
弗 0x000183FC
甫 0x0001841C
抚 0x0001843C
辅 0x0001845C
俯 0x0001847C
釜 0x0001849C
斧 0x000184BC
脯 0x000184DC
腑 0x000184FC
府 0x0001851C
腐 0x0001853C
赴 0x0001855C
副 0x0001857C
覆 0x0001859C
赋 0x000185BC
复 0x000185DC
傅 0x000185FC
付 0x0001861C
阜 0x0001863C
父 0x0001865C
腹 0x0001867C
负 0x0001869C
富 0x000186BC
讣 0x000186DC
附 0x000186FC
妇 0x0001871C
缚 0x0001873C
咐 0x0001875C
噶 0x0001877C
嘎 0x0001879C
该 0x000187BC
改 0x000187DC
概 0x000187FC
钙 0x0001881C
盖 0x0001883C
溉 0x0001885C
干 0x0001887C
甘 0x0001889C
杆 0x000188BC
柑 0x000188DC
竿 0x000188FC
肝 0x0001891C
赶 0x0001893C
感 0x0001895C
秆 0x0001897C
敢 0x0001899C
赣 0x000189BC
冈 0x000189DC
刚 0x000189FC
钢 0x00018A1C
缸 0x00018A3C
肛 0x00018A5C
纲 0x00018A7C
岗 0x00018A9C
港 0x00018ABC
杠 0x00018ADC
篙 0x00018AFC
皋 0x00018B1C
高 0x00018B3C
膏 0x00018B5C
羔 0x00018B7C
糕 0x00018B9C
搞 0x00018BBC
镐 0x00018BDC
稿 0x00018BFC
告 0x00018C1C
哥 0x00018C3C
歌 0x00018C5C
搁 0x00018C7C
戈 0x00018C9C
鸽 0x00018CBC
胳 0x00018CDC
疙 0x00018CFC
割 0x00018D1C
革 0x00018D3C
葛 0x00018D5C
格 0x00018D7C
蛤 0x00018D9C
阁 0x00018DBC
隔 0x00018DDC
铬 0x00018DFC
个 0x00018E1C
各 0x00018E3C
给 0x00018E5C
根 0x00018E7C
跟 0x00018E9C
耕 0x00018EBC
更 0x00018EDC
庚 0x00018EFC
羹 0x00018F1C
埂 0x00018F3C
耿 0x00018F5C
梗 0x00018F7C
工 0x00018F9C
攻 0x00018FBC
功 0x00018FDC
恭 0x00018FFC
龚 0x0001901C
供 0x0001903C
躬 0x0001905C
公 0x0001907C
宫 0x0001909C
弓 0x000190BC
巩 0x000190DC
汞 0x000190FC
